"Release.Date";"Season";"Episode";"Episode.Title";"Name";"Sentence"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";" , in that case, as hand of the queen, i outrank whomever gave your order. probably by quite a lot."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"how did they find you?"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"did you consider taking it off?"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"cersei once called me ""the stupidest lannister."""
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"and you are going back to her, to die with her."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"you have underestimated her before."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"she is going to die. unless you can convince her to change her course of action."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"difficult to do from here."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"when have i ever been able to convince cersei of anything?"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"try. if not for yourself, if not for her, then for every one of the million people in that city, innocent or otherwise."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"to be honest, i never really cared much for them. innocent or otherwise."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"you do care for one innocent. i know you do. and so does cersei. she has a reason now."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"the child is the reason she will never give an inch. all the worst things she is ever done, she is done for her children. it is not impossible that she will win."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"she will not. her enemy's forces have been depleted, as she said they would be."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"two of the three dragons are dead. she is evened the odds."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"the city will fall tomorrow."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"she has the lannister army, she has the golden company-"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"i defended the city last time it was attacked. i know it better than anyone. it will fall tomorrow."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"then i suppose i will die tomorrow, if not before."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"why?"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"escape. the two of you, together. remember where we met, where they keep the dragon skulls, beneath the red keep? take her down there. keep following the stairways down, down as far as they will go. you will come out onto a beach at the foot of the keep. a dinghy will be waiting for you. sail out of the bay. if the winds are kind, you will make it to pentos. start a new life."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"sail right past the iron fleet and into a new life? sounds a lot less likely than cersei winning this war-"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"there will not be an iron fleet for much longer. do it. if you do not, you will never see cersei again."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"swear to me."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"you have my word."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"if it works, give the order to ring all the bells in king's landing and open the gates. that will be our signal that the city has surrendered."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"i will try."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"i never thought i would get to repay the favor. remember, ring the bells and open the gates."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"your queen will execute you for this."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"if daenerys can make it to the throne without wading through a river of blood, maybe she will show mercy to the person who made that possible."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"tens of thousands of innocent lives one not particularly innocent dwarf it seems like a fair trade. if it  not for you, i never wouldo ve survived my childhood."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"you would have."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"you  the only one who did not treat me like a monster. you  all i had."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"eyes on the horizon!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"load the scorpion!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"archers, close up!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"come on!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"up to the espringal!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"to the back of it!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"archers, line up!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"woman";"this way! come on!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"clear the streets now!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"woman";"no!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"in, now. and you, come on."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"inside, now!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"quickly."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"yes. follow down there. they are here. get to the red keep."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"father";"my son!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"get inside!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"just ahead of you, i can see it!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"all right, move it!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"woman";"come on!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"keep moving!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"keep going!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"quickly!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"all the way!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"father";"hold your mother's hand!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"make way for the golden company!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"close the gate!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"tyrion lannister";"if you hear the bells ring, they have surrendered. call off your men."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"move along now, lads."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"that is it."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"go on, move it."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"come on, move, move. faster, faster. come on, move it. keep going."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"keep moving."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"sandor clegane";"move."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"stay with him."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"hold on."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"woman";"hold my hand."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"nora";"get behind there."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"close the gate! no more through!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"nora";"no!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"vicky";"no! mommy!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"nora";"vicky! please!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"vicky";"no, please, sir!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"open the gate!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"open it!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"get back!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"nora";"look, try that one! go! go!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"the gates are locked now!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"woman";"open!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"woman";"open the gate! soldier! soldier!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"please open the gate!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"go back to your homes!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"stay back! it is closed!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"soldier!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"move away! stop!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"let us in!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"we are not leaving!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"turn!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"euron greyjoy";"turn it around! turn it around!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"euron greyjoy";"get back! back!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"euron greyjoy";"fire!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"i can see her! ready!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"move!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"fire!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"reload!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"faster! hurry!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"go!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"run!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"qyburn";"your grace."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"cersei lannister";"all we need is one good shot."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"qyburn";"the scorpions have all been destroyed, your grace."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"cersei lannister";"the iron fleet hold blackwater bay. euron killed one of her dragons. he can kill another."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"qyburn";"your grace, the iron fleet is burning. the gates have been breached. the golden company-"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"cersei lannister";"our men will fight harder than sellswords ever could. they will defend their queen to the last man."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"qyburn";"yes, your grace."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"cersei lannister";"the red keep has never fallen. it will not fall today."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"no, no, no!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jon snow";"move, move!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"run. run! come on!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"ring the bells!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"the bells!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"ring the bells!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"woman";"ring the bells!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"ring the bloody bells!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"woman";"tell the queen to ring the bells."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"ring the bells! ring the bell!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"woman";"this way."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"ring the bell!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"ring the bell!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"ring them!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"help us!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"in the name of the-"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"queen! we are surrounded!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"now! come on!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"hurry up!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jon snow";"no! get back! get back!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jon snow";"stay! stay!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"davos";"quickly. quickly."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jon snow";"stop!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"get off me! get off, bitch!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"woman";"no, get off! help! help! no!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"lannister soldier";"go! go!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jon snow";"find somewhere to hide."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"my god!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"euron greyjoy";"the kingslayer."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"we need to get the queen out of king's landing."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"euron greyjoy";"listen. that is the sound of a city dying. it is over."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";" , maybe for you."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"euron greyjoy";"if you kill another king before you die they will sing about you forever."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"you are no king."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"euron greyjoy";"oh, but i am. and i fucked the queen. if i win, i will bring your head to cersei so you can kiss her one last time."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"qyburn";"your grace, it is not safe here any longer."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"cersei lannister";"the red keep is the safest place in the city."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"qyburn";"the unsullied have breached the gates of the red keep."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"qyburn";"maegor's holdfast would be a better place to wait out the storm."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"euron greyjoy";"you fought  for a cripple."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"euron greyjoy";"another king for you."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"euron greyjoy";"but i got you!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"euron greyjoy";"i got you!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"euron greyjoy";"i am the man who killed jaime lannister."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"sandor clegane";"go home, girl. the fire will get her, or one of the dothraki."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"sandor clegane";"or maybe that dragon will eat her. it does not matter. she is dead. and you will be dead too if you do not get out of here."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"arya stark";"i am going to kill her."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"sandor clegane";"you think you wanted revenge a long time? i have been after it all my life."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"sandor clegane";"it is all i care about. and look at me."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"sandor clegane";"look at me! you wanna be like me?"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"sandor clegane";"you come with me, you die here."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"arya stark";"sandor."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"arya stark";"thank you."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"sandor clegane";"your grace."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"sandor clegane";"hello, big brother."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"cersei lannister";"ser gregor, stay by my side."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"cersei lannister";"ser gregor, i command you."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"qyburn";"obey your queen, ser gregor."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"sandor clegane";"yeah, that is you. that is what you have always been."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"cersei lannister";"you are hurt."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"it does not matter."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"cersei lannister";"you are bleeding."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"owen";"alanna! alanna! have you seen my wife? have you seen my wife?"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"arya stark";"let go."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"owen";"have you seen my wife?"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"out of the way!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"no!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"sandor clegane";"oh."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"nora";"take my hand. take my hand! get up. get up."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"nora";"no. no."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"arya stark";"wait! wait! no!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"sandor clegane";"fucking die!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jon snow";"we need to fall back! fall back behind the wall! fall back!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"soldier";"fall back!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jon snow";"get out of the city! fall back! fall back! fall back!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"arya stark";"you can not stay here. you have to keep moving."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"woman";"we can not go out there."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"arya stark";"you have to."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"woman";"everyone out there is dead."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"arya stark";"if you stay here, you will die. follow me."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"arya stark";"follow me!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"man";"come on, quickly. all of you."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"vicky";"mama! mama! mama!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"vicky";"no. mama! mama! mama!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"arya stark";"get up. get up!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"arya stark";"we have to keep moving."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"nora";"take her. take her!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"nora";"take her."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"arya stark";"come on! come on!"
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"this way."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"cersei lannister";"i want our baby to live. i want our baby to live. i want our baby to live."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"cersei lannister";"do not let me die, jaime. please do not let me die."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"it is all right."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"cersei lannister";"please do not let me die."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"cersei lannister";"i do not want to die."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"just look- look at me. look at me."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"cersei lannister";"not like this. not like this. not like this."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"look- look- look me in the eye. do not look away. do not look- look at me! just look at me."
"2019-05-12";"Season 8";"Episode 5";"The Bells";"jaime lannister";"nothing else matters. nothing else matters. only us."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"i will find you later."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"it is not safe. let me send some men with you."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"i am going alone."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"grey worm";"in the name of the one true queen, daenerys targaryen, i sentence you to die."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"grey worm!"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"it is over."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"grey worm";"these men are prisoners. it is not over until the queen's enemies are defeated."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"davos";"how much more defeated do you want them to be? they are on their knees."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"grey worm";"they are breathing."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"davos";"look around you, friend. we won."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"grey worm";"i obey my queen's commands, not yours."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"and what are the queen's commands?"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"grey worm";"kill all who follow cersei lannister."" these are free men. they chose to fight for her."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"davos";"easy, men. easy! easy."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"davos";"jon. we should speak with the queen."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"daenerys targaryen";"blood of my blood."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"daenerys targaryen";"you kept all your promises to me. you killed my enemies in their iron suits."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"daenerys targaryen";"your tore down their stone houses. you gave me the seven kingdoms."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"daenerys targaryen";"torgo nudho."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"daenerys targaryen";"you have walked beside me since the plaza of pride. you are the bravest of men, the most loyal of soldiers. i name you commander of all my forces, the queen's master of war."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"daenerys targaryen";"unsullied. all of you  torn from your mother's arms and raised as slaves. now you are liberators. you have freed the people of king's landing from the grip of a tyrant!"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"daenerys targaryen";"but the war is not over. we will not lay down our spears until we have liberated all the people of the world!"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"daenerys targaryen";"from winterfell to dorne, from lannisport to qarth, from the summer isles to the jade sea! women, men and children have suffered too long beneath the wheel."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"daenerys targaryen";"will you break the wheel with me?"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"daenerys targaryen";"you freed your brother. you committed treason."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"i freed my brother. and you slaughtered a city."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"daenerys targaryen";"take him."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"what are you doing here?"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"hey, what happened?"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"arya stark";"i came to kill cersei. your queen got there first."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"she is everyone's queen now."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"arya stark";"try telling sansa."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"wait for me outside the city gates. i will come find you."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"arya stark";"jon. she knows who you are. who you really are. you will always be a threat to her. and i know a killer when i see one."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"did you bring any wine?"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"no."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"ah... ... thank you for coming to see me. our queen does not keep prisoners for long. i suppose there is a crude kind of justice. i betrayed my closest friend and watched him burn. now varys's ashes can tell my ashes, ""see, i told you."" it just occurred to me. i am talking to the only man alive who knows where i am going."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"so is there life after death?"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"not that i have seen."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"i should be thankful. oblivion is the best i could hope for. i strangled my lover. i shot my own father with a crossbow. i betrayed my queen."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"you did not."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"i did. and i would do it again, now that i have seen what i have seen. i chose my fate. the people of king's landing did not."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"i can not justify what happened. i will not try. but the war is over now."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"is it? when you heard her talking to her soldiers, did she sound like someone who is done fighting?"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"she liberated the people of slaver's bay. she liberated the people of king's landing. and she will go on liberating until the people of the world are free and she rules them all."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"and you have been by her side, counseling her. until today."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"until today. varys was right. i was wrong. it was vanity to think i could guide her. our queen's nature is fire and blood."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"you think our house words are stamped on our bodies when we are born and that is who we are? then i would be fire and blood too. she is not her father, no more than you are tywin lannister."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"my father was an evil man. my sister was an evil woman. pile up all the bodies of all the people they ever killed, there still will not be half as many as our beautiful queen slaughtered in a single day."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"cersei left her no choice."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"the moment the gates fell, the battle was over."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"she saw her friend beheaded. she saw her dragon shot out of the sky."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"and she burned down a city for it."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"ah, it is easy to judge when you are standing far from the battlefield."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"would you have done it?"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"what?"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"you have been up there, on a dragon's back. you have had that power. would you have burned the city down?"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"i do not know."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"yes, you do. you will not say because you do not want to betray her but you know."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"what is it matter what i would do?"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"it matters more than anything. when she murdered the slavers of astapor, i am sure no one but the slavers complained. after all, they  evil men."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"when she crucified hundreds of meereenese nobles, who could argue? they  evil men. the dothraki khals she burned alive? they would have done worse to her. everywhere she goes, evil men die and we cheer her for it. and she grows more powerful and more sure that she is good and right. she believes her destiny is to build a better world for everyone. if you believed that if you truly believed it, would not you kill whoever stood between you and paradise?"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"i know you love her. i love her too. not as successfully as you. but i believed in her with all my heart. love is more powerful than reason. we all know that. look at my brother."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"love is the death of duty."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"you just came up with that?"
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"jon snow";"maester aemon said it a long time ago."
"2019-05-19";"Season 8";"Episode 6";"The Iron Throne";"tyrion lannister";"sometimes duty is the death of love. you are the shield that guards the realms of men. and you have always tried to do the right thing. no matter the cost, you have tried to protect people. who is the greatest threat to the people now?"
